structure_index,natoms,asr_drift_norm,is_valid_asr
109,5,4.965068306494546e-16,True
110,2,0.0,True
111,4,1.538370149106851e-15,True
112,2,0.0,True
113,5,0.0,True
114,3,0.0,True
115,3,9.99999993922529e-09,True
116,5,9.9999999392253e-09,True
117,2,0.0,True
118,3,1.7320507970423888e-08,True
119,5,9.99999993922529e-09,True
120,4,1.7320507970423888e-08,True
121,4,0.0,True
122,4,9.99999993922537e-09,True
123,3,0.0,True
124,2,0.0,True
125,3,1.7320508355016425e-08,True
126,4,0.0,True
127,5,1.732050848321395e-08,True
128,2,0.0,True
129,3,1.538370149106851e-15,True
130,3,9.99999993922529e-09,True
131,4,1.7320508996004002e-08,True
132,3,0.0,True
133,4,0.0,True
134,3,7.691850745534255e-16,True
135,8,0.0,True
136,3,0.0,True
137,1,0.0,True
138,4,1.2560739669470201e-15,True
139,3,0.0,True
140,2,0.0,True
141,6,3.162277664603284e-08,True
142,3,0.0,True
143,4,0.0,True
144,4,0.0,True
145,5,1.4142134281708593e-08,True
146,2,0.0,True
147,12,2.9205407954182373e-15,True
148,4,1.0000000383314816e-08,True
149,4,0.0,True
150,2,0.0,True
151,3,1.1537776118301384e-15,True
152,5,1.0877919644084146e-15,True
153,2,0.0,True
154,2,0.0,True
155,3,1.7320507970423888e-08,True
156,2,0.0,True
157,3,1.00000003833145e-08,True
158,3,1.7320508739608962e-08,True
159,4,6.280369834735101e-16,True
160,6,2.0000000766629e-08,True
161,5,1.4142135302268674e-08,True
162,3,0.0,True
163,3,9.99999993922529e-09,True
164,2,0.0,True
165,2,0.0,True
166,4,6.280369834735101e-16,True
167,4,6.280369834735101e-16,True
168,2,0.0,True
169,3,1.7320507970423888e-08,True
170,4,0.0,True
171,4,1.4142136165819515e-08,True
172,4,0.0,True
173,2,0.0,True
174,5,1.414213490974556e-08,True
175,4,0.0,True
176,2,0.0,True
177,2,0.0,True
178,4,1.4142135537782532e-08,True
179,3,1.9229626863835638e-16,True
180,2,0.0,True
181,4,0.0,True
182,2,0.0,True
183,4,1.7320508226818918e-08,True
184,5,1.7320506944843804e-08,True
185,4,0.0,True
186,2,0.0,True
187,3,1.7320508739608962e-08,True
188,3,7.691850745534255e-16,True
189,3,0.0,True
190,2,0.0,True
191,3,0.0,True
192,4,1.000000082740379e-08,True
193,4,1.000000082740379e-08,True
194,2,0.0,True
195,3,0.0,True
196,2,0.0,True
197,2,0.0,True
198,3,0.0,True
199,5,6.280369834735101e-16,True
200,4,9.99999993922537e-09,True
201,2,0.0,True
202,4,9.99999993922529e-09,True
203,5,1.732050806657202e-08,True
204,4,1.7320508739608962e-08,True
205,4,1.7320507970423888e-08,True
206,4,1.000000082740371e-08,True
207,6,1.5917919408906608e-16,True
208,4,1.7320507970423888e-08,True
209,46,6.928203207399182e-08,True
210,23,1.7320509252399026e-08,True
211,16,3.7367087251761353e-17,True
212,46,1.9518530096400706e-15,True
213,8,0.0,True
214,28,4.0000000867124225e-08,True
215,40,6.633249561318971e-08,True
216,12,4.000000008996807e-08,True
217,10,3.4641018504798025e-08,True
218,4,0.0,True
219,2,0.0,True
220,4,0.0,True
221,3,1.7320509508794036e-08,True
222,3,0.0,True
223,5,9.930136612989092e-16,True
224,4,1.00000003833145e-08,True
225,2,0.0,True
226,5,1.4142135537782532e-08,True
227,2,0.0,True
228,3,0.0,True
229,4,1.7320508996004002e-08,True
230,4,1.7320508547312693e-08,True
231,5,6.661338147750939e-16,True
232,2,0.0,True
233,3,3.8459253727671276e-16,True
234,3,0.0,True
235,4,1.2560739669470201e-15,True
236,2,0.0,True
237,3,1.4142135851801023e-08,True
238,3,9.999999999999904e-09,True
239,3,1.4142135851801023e-08,True
240,3,1.7320507970423888e-08,True
241,2,0.0,True
242,3,1.7320507970423888e-08,True
243,3,9.99999993922529e-09,True
244,2,0.0,True
245,2,0.0,True
246,4,1.732050643205374e-08,True
247,2,0.0,True
248,4,0.0,True
249,6,1.0000000050247637e-08,True
250,3,1.7320507970423888e-08,True
251,4,0.0,True
252,4,0.0,True
253,4,1.4142135537782539e-08,True
254,5,1.000000082740373e-08,True
255,3,1.7320509508794036e-08,True
256,4,0.0,True
257,5,1.000000171558213e-08,True
258,4,0.0,True
259,4,1.4142136793856527e-08,True
260,5,1.7320507970423888e-08,True
261,5,1.7320508996004002e-08,True
262,4,1.2560739669470201e-15,True
263,5,7.691850745534255e-16,True
264,5,1.7320507201238824e-08,True
265,4,0.0,True
266,5,3.464101850479803e-08,True
267,4,1.7320507970423888e-08,True
268,4,0.0,True
269,4,7.691850745534255e-16,True
270,4,9.99999993922529e-09,True
271,4,1.7320507714028868e-08,True
272,5,2.6457512278451385e-08,True
273,5,9.9999999392253e-09,True
274,5,9.99999993922529e-09,True
275,4,1.7320507201238847e-08,True
276,4,9.99999993922529e-09,True
277,4,1.3322676295501878e-15,True
278,4,1.4142135537782532e-08,True
279,5,2.482534153247273e-16,True
280,5,9.9999999392253e-09,True
281,4,0.0,True
282,4,6.280369834735101e-16,True
283,4,1.4142135537782532e-08,True
284,4,1.4142136479838014e-08,True
285,4,9.99999993922529e-09,True
286,5,0.00018473186379173217,True
287,4,0.0,True
288,4,1.7320507842226378e-08,True
289,4,0.0,True
290,5,9.9999999392253e-09,True
291,4,7.691850745534255e-16,True
292,4,3.1401849173675503e-16,True
293,5,1.7320507201238814e-08,True
294,5,1.7320509124201502e-08,True
295,4,1.7320508739608995e-08,True
296,4,1.732050864346083e-08,True
297,4,0.0,True
298,4,1.4142136793856499e-08,True
