tensor_name,shape,total_parameters,mean_val,std_val,min_val,max_val,sample_first_5_values
interactions.4.convolution.lin0.bias,[64],64,0.03946680575609207,0.1302187144756317,-0.5232788920402527,0.6859859228134155,"[0.0020185953471809626, 0.19885718822479248, -0.006837153807282448, 0.28990235924720764, -0.001539327553473413]"
interactions.4.convolution.convolution.weight,[61440],61440,-0.0010406457586213946,0.32890844345092773,-3.6248960494995117,3.80438494682312,"[0.0312674418091774, -0.04580847546458244, -0.03261195868253708, 0.07722294330596924, 0.15035243332386017]"
interactions.4.lin0.weight,[16384],16384,-0.0002690592664293945,0.283324658870697,-2.7273664474487305,2.951080560684204,"[-0.5379922986030579, -0.0837467685341835, -0.09915579855442047, -0.14800231158733368, -0.027364568784832954]"
interactions.4.lin0.bias,[64],64,-0.004629108589142561,0.027958957478404045,-0.08929253369569778,0.06043969467282295,"[-0.013939432799816132, 0.0009119179449044168, -0.00902677234262228, -0.0025164950639009476, -0.013299185782670975]"
interactions.5.convolution.lin0.weight,[6144],6144,-0.010882063768804073,0.5383559465408325,-4.904006481170654,4.1451640129089355,"[-1.494445234229147e-09, 4.582646706552396e-09, -5.432969629737272e-09, 6.999451018785408e-10, 4.805191355927718e-09]"
interactions.5.convolution.lin0.bias,[64],64,-0.008981643244624138,0.0720723494887352,-0.23360475897789001,0.17221835255622864,"[0.031619977205991745, 0.008331225253641605, 0.013939141295850277, 0.004559993743896484, -0.001224659732542932]"
interactions.5.convolution.convolution.weight,[61440],61440,-0.0005587807390838861,0.1706431359052658,-1.9937191009521484,2.2092292308807373,"[-0.02978978492319584, -0.062629833817482, 0.18976035714149475, 0.01728467456996441, -0.015140418894588947]"
interactions.5.lin0.weight,[16384],16384,-0.0010617582593113184,0.27930381894111633,-2.220337390899658,1.9028576612472534,"[-0.3949483335018158, -0.24338707327842712, -0.2191593199968338, 0.04739474877715111, 0.24324479699134827]"
interactions.5.lin0.bias,[64],64,0.002107208129018545,0.0267028771340847,-0.05221174284815788,0.1519661247730255,"[-0.007448107004165649, 0.012925809249281883, 0.007140064612030983, -0.0058028907515108585, -0.013658275827765465]"
lin1.weight,[192],192,-0.004160616081207991,0.1583274006843567,-0.7012309432029724,0.5823442339897156,"[0.0451396107673645, 0.29121536016464233, 0.08072329312562943, -0.03527521342039108, -0.32673847675323486]"
lin1.bias,[1],1,0.0006870253127999604,0.0,0.0006870253127999604,0.0006870253127999604,[0.0006870253127999604]
