Chemical_Formula,Snapshot_Frame_Count
BaHf4O12Pb3,1
Hf4O12PbSr3,1
Ba3Hf4O12Pb,1
Hf4O12Sr4,1
BaHf4O12Sr3,1
Ba3Hf4O12Sr,1
Ba4Hf4O12,1
Ca4O12Ti3Zr,1
Ca4HfO12Ti3,1
Ca4O12TiZr3,1
Ca4Hf3O12Ti,1
Ca4HfO12Zr3,1
Ca4Hf3O12Zr,1
Ba2Ca2O12Ti3Zr,1
Ba2Ca2HfO12Ti3,1
Ba2Ca2O12TiZr3,1
Ba2Ca2Hf3O12Ti,1
Ba2Ca2HfO12Zr3,1
Ba2Ca2Hf3O12Zr,1
