weight_index,weight_value
412,0.23304033
413,0.25527424
414,0.35623765
415,0.36345145
416,0.4742684
417,0.048869353
418,0.0075611076
419,0.46609232
420,0.26356423
421,0.13047376
422,-0.0057907673
423,-0.21578379
424,-0.12997882
425,-0.004132138
426,-0.21898717
427,-0.01610536
428,0.3147652
429,-0.624511
430,-0.033980258
431,-0.06577825
432,-0.10579032
433,0.2782023
434,0.41352332
435,0.25262442
436,0.2820333
437,0.28667715
438,0.007878096
439,0.24996994
440,0.17253384
441,0.11401178
442,0.58603686
443,-0.045651376
444,0.065734066
445,0.1814991
446,0.61859006
447,-0.081325196
448,0.029363077
449,0.053201545
450,-0.017062802
451,0.2587811
452,-0.008128115
453,-0.10092995
454,0.03909386
455,0.019566925
456,-0.021350274
457,0.4132534
458,-0.0132450955
459,-0.108933836
460,-0.014637061
461,0.08904973
462,-0.059850283
463,0.017908826
464,-0.053710304
465,-0.00071344443
466,-0.03769594
467,0.029991053
468,-0.0003071555
469,-0.009060336
470,-0.08905285
471,-0.023746645
472,0.04124145
473,-0.006402436
474,-0.053945348
475,-0.020392515
476,0.03427599
477,0.067609526
478,0.003107918
479,-0.023470711
480,-0.01480498
481,-0.029505182
482,-0.02449989
483,0.0019264458
484,-0.078826055
485,-0.027550071
486,-0.072997175
487,-0.01111815
488,-0.04958553
489,-0.01909325
490,0.00062969845
491,-0.011591355
492,-0.008641778
493,-0.00018286332
494,0.0063918764
495,0.033380598
496,-0.011740241
497,-0.07250706
498,-0.06253409
499,0.034895223
500,0.10211529
501,-0.009999698
502,-0.0073005543
503,-0.031809546
504,0.048297375
505,0.012311709
506,0.054213278
507,0.0020117501
508,-0.0014390787
509,-0.025922645
510,0.01642401
511,-0.006344519
512,-0.032876223
513,0.01816641
514,-0.040475816
515,-0.52468705
516,0.12970555
517,-0.1157201
518,-0.054899246
519,-0.117080525
520,0.12352479
521,-0.09101014
522,0.12146489
523,-0.019855121
524,-0.010358443
525,0.043442644
526,-0.06359364
527,-0.009787413
528,0.03104829
529,-0.019487504
530,0.04693792
531,0.04949164
532,-0.11972198
533,-0.0024301652
534,0.043898113
535,-0.036348093
536,-0.029412307
537,0.051378526
538,0.2713207
539,0.0152143
540,-0.060023416
541,0.1250634
542,-0.03863298
543,0.123672284
544,-0.09590219
545,0.064473696
546,0.013396132
547,0.015166808
548,-0.055165682
549,0.051200483
550,0.04816468
551,-0.047212493
552,0.034682892
553,-0.06731491
554,-0.015846053
555,0.18832761
556,0.04645124
557,-0.12792543
558,0.0024433867
559,0.122082986
