weight_index,weight_value
1040,-0.00011574604
1041,0.00026988634
1042,-0.0001781063
1043,0.0005760515
1044,-6.2331936e-05
1045,0.0010922378
1046,9.783043e-05
1047,0.00030980562
1048,-0.00025853803
1049,-5.2509607e-05
1050,-0.00029023874
1051,2.6111531e-06
1052,-0.00013897585
1053,5.4348457e-05
1054,6.0307502e-05
1055,-0.00037957053
1056,-4.5415185e-05
1057,-0.00022059413
1058,0.00029461767
1059,0.000101076184
1060,-0.00011142097
1061,0.00022417342
1062,-9.330221e-05
1063,-0.00015130635
1064,0.00016328566
1065,0.00060284784
1066,0.00018159077
1067,0.0004928495
1068,-0.0002723918
1069,-0.00077973964
1070,0.0002351141
1071,0.00020635451
1072,4.8690243e-05
1073,-9.6545264e-05
1074,-0.00091752986
1075,0.00025140634
1076,-0.00042658902
1077,9.751466e-05
1078,0.00020244843
1079,0.00013245309
1080,-0.0002281305
1081,-0.0006566847
1082,-8.376596e-05
1083,0.00022806464
1084,0.0005656304
1085,-0.00012171219
1086,5.8453547e-06
1087,0.00032006722
1088,0.0991319
1089,0.2699219
1090,-0.43226096
1091,0.119084425
1092,-0.34983742
1093,-0.06983343
1094,-0.045675058
1095,0.023020402
1096,-0.3900008
1097,-0.12106983
1098,0.025350768
1099,-0.06944689
1100,0.0076556364
1101,0.083271004
1102,0.03981634
1103,-0.041717414
1104,0.06750758
1105,0.20009688
1106,-0.3698129
1107,0.08627825
1108,-0.009168743
1109,-0.32898003
1110,-0.14903201
1111,-0.08568698
1112,-0.122015126
1113,-0.119276196
1114,0.20248292
1115,0.21395682
1116,0.018127507
1117,0.14196032
1118,-0.23067899
1119,0.010061912
1120,0.040300727
1121,-0.09159208
1122,0.113098636
1123,-0.076066956
1124,0.055006236
1125,-0.3451632
1126,-0.016620422
1127,-0.21243103
1128,-0.08794953
1129,0.32740822
1130,0.4238492
1131,-0.14225028
1132,-0.07088118
1133,-0.032085653
1134,-0.33322737
1135,0.07971424
1136,-0.011433951
1137,0.020469824
1138,-0.019200465
1139,0.001946927
1140,0.120333955
1141,0.16058868
1142,0.31749362
1143,-0.252045
1144,0.054058738
1145,0.0010910032
1146,0.07659346
1147,0.20794313
1148,-0.014138591
1149,0.045197673
1150,-0.2124847
1151,-0.1560473
1152,-0.010289947
1153,0.28355712
1154,0.14857031
1155,-0.07191283
1156,-0.36138833
1157,-0.016315924
1158,0.05237966
1159,0.023101788
1160,0.12454084
1161,-0.038041696
1162,-0.057535514
1163,0.093414284
1164,0.031304363
1165,0.028893108
1166,-0.12573755
1167,-0.046491235
1168,-0.04698236
1169,0.16999337
1170,0.15033656
1171,0.02667789
1172,0.011881054
1173,-0.35894436
1174,-0.03561786
1175,0.032046802
1176,-0.11306719
1177,0.054641582
1178,0.35836807
1179,0.0050136824
1180,-0.046343498
