Index,Material_ID,Formula,Atoms,Elements,Max_Diag_BEC_e
203,aaaegxxl,NaLuS2,4,"Lu, Na, S",4.217
204,aaaegxxp,H4C,5,"C, H",0.12
205,aaaegxzc,CsK2Sb,4,"Cs, K, Sb",3.104
206,aaaegyai,RbPrSe2,4,"Pr, Rb, Se",4.673
207,aaaegybb,TmTlSe2,4,"Se, Tl, Tm",4.28
208,aaaegybh,S,6,S,0.65
209,aaaegyce,RbErSe2,4,"Er, Rb, Se",4.389
210,aaaegyck,Si,46,Si,0.321
211,aaaegycl,Si,23,Si,0.59
212,aaaegycm,Cl2,16,Cl,0.056
213,aaaegydi,Sn,46,Sn,0.702
214,aaaegygp,N2,8,N,0.0
215,aaaegygq,B,28,B,2.054
216,aaaegygy,Si,40,Si,0.377
217,aaaegyhg,Si,12,Si,0.9
218,aaaegyio,Al2O3,10,"Al, O",2.959
219,aaaegyjg,LiCl,4,"Cl, Li",1.028
220,aaaegyjh,GaAs,2,"As, Ga",2.104
221,aaaegyjs,AlN,4,"Al, N",2.677
222,aaaegyjx,CeO2,3,"Ce, O",5.761
223,aaaegyma,Li2O,3,"Li, O",1.791
224,aaaegyug,K2PtS2,5,"K, Pt, S",2.39
225,aaaegyuw,KLuS2,4,"K, Lu, S",4.216
226,aaaegyvr,SrO,2,"O, Sr",2.459
227,aaaegywe,La2SO2,5,"La, O, S",4.147
228,aaaegyxn,Kr,2,Kr,0.0
229,aaaegyzf,Cs2Se,3,"Cs, Se",2.107
230,aaaegyzp,KErTe2,4,"Er, K, Te",4.532
231,aaaegyzu,Ba2AsAu,4,"As, Au, Ba",4.906
232,aaaegyzz,MgTlF3,5,"F, Mg, Tl",2.173
233,aaaegzbr,ZnSe,2,"Se, Zn",2.026
234,aaaegzbt,LaBiPd,3,"Bi, La, Pd",2.277
235,aaaegzcr,HfSnPd,3,"Hf, Pd, Sn",3.57
236,aaaegzcw,InSe,4,"In, Se",2.397
237,aaaegzdk,BN,2,"B, N",2.702
238,aaaegzfw,YHSe,3,"H, Se, Y",3.157
239,aaaegzgd,Xe,3,Xe,0.0
240,aaaegzgo,TbHSe,3,"H, Se, Tb",3.12
241,aaaegzhc,LiMgN,3,"Li, Mg, N",2.474
242,aaaegzhk,CdS,2,"Cd, S",2.179
243,aaaegzht,SrCl2,3,"Cl, Sr",2.496
244,aaaegzin,MgBr2,3,"Br, Mg",2.324
245,aaaegzir,BeSe,2,"Be, Se",1.528
246,aaaegzka,KF,2,"F, K",1.141
247,aaaegznz,LiErSe2,4,"Er, Li, Se",4.324
248,aaaegzob,CsBr,2,"Br, Cs",1.236
249,aaaegzpg,Zn2SeS,4,"S, Se, Zn",2.172
250,aaaegzqa,CdIBr,6,"Br, Cd, I",2.841
251,aaaegzqr,CdBr2,3,"Br, Cd",2.724
252,aaaegzre,Cl2,4,Cl,0.0
253,aaaegzrj,GaP,4,"Ga, P",2.181
254,aaaegzsj,KBiS2,4,"Bi, K, S",6.046
255,aaaegzsy,BaTiO3,5,"Ba, O, Ti",7.105
256,aaaegztf,TaSbRu,3,"Ru, Sb, Ta",7.221
257,aaaegztk,NaScS2,4,"Na, S, Sc",4.471
258,aaaehaag,Zr2SN2,5,"N, S, Zr",5.385
259,aaaehacb,BaO,4,"Ba, O",2.628
260,aaaehadx,SmTlS2,4,"S, Sm, Tl",4.383
261,aaaehaih,Na3BrO,5,"Br, Na, O",1.885
262,aaaehajr,Hf2SeN2,5,"Hf, N, Se",5.322
263,aaaehalt,Pb2SeS,4,"Pb, S, Se",4.925
264,aaaehanh,Na3ClO,5,"Cl, Na, O",1.777
265,aaaehaqp,KTaO3,5,"K, O, Ta",8.783
266,aaaehari,KNdTe2,4,"K, Nd, Te",4.826
267,aaaehava,KNbO3,5,"K, Nb, O",9.683
268,aaaehavn,LiHoSe2,4,"Ho, Li, Se",4.358
269,aaaehawj,AcTlTe2,4,"Ac, Te, Tl",5.914
270,aaaehaxc,Li3Sb,4,"Li, Sb",2.803
271,aaaehaxd,NaErS2,4,"Er, Na, S",4.305
272,aaaehaxr,NaInSe2,4,"In, Na, Se",4.14
273,aaaehbdr,KNbO3,5,"K, Nb, O",8.475
274,aaaehbfw,CsPbCl3,5,"Cl, Cs, Pb",3.965
275,aaaehbgj,Sr(MgSb)2,5,"Mg, Sb, Sr",3.083
276,aaaehbhh,NaSbSe2,4,"Na, Sb, Se",6.676
277,aaaehbiz,GaAgO2,4,"Ag, Ga, O",3.425
278,aaaehbjo,ZrZnN2,4,"N, Zn, Zr",6.332
279,aaaehblj,HoTlS2,4,"Ho, S, Tl",4.265
280,aaaehblt,RbCdF3,5,"Cd, F, Rb",2.348
281,aaaehboq,KNbO3,5,"K, Nb, O",9.007
282,aaaehbpe,LiC,4,"C, Li",0.952
283,aaaehbrx,HoCuSe2,4,"Cu, Ho, Se",4.445
284,aaaehbsq,RbDyS2,4,"Dy, Rb, S",4.388
285,aaaehbtd,TmF3,4,"F, Tm",4.079
286,aaaehbwo,SmAgO2,4,"Ag, O, Sm",4.483
287,aaaehbxu,TlZnF3,5,"F, Tl, Zn",2.477
288,aaaehcbc,TbTlSe2,4,"Se, Tb, Tl",4.356
289,aaaehcbr,Ca2NCl,4,"Ca, Cl, N",3.424
