Index,Material_ID,Formula,Atoms,Elements,Max_Diag_BEC_e
861,aaaekoal,CsNO2,12,"Cs, N, O",1.927
862,aaaekobf,Ti(SeO3)2,18,"O, Se, Ti",7.433
863,aaaekobl,NaTaO3,10,"Na, O, Ta",8.622
864,aaaekobw,CsLiBr2,8,"Br, Cs, Li",1.349
865,aaaekocg,Hg2As3Br,12,"As, Br, Hg",3.046
866,aaaekocm,Na3AlH6,20,"Al, H, Na",2.063
867,aaaekocp,Cs2H4Pt,14,"Cs, H, Pt",1.303
868,aaaekocz,RbCaBr3,20,"Br, Ca, Rb",2.457
869,aaaekodo,MgO,24,"Mg, O",2.048
870,aaaekodw,YAgSe2,16,"Ag, Se, Y",4.438
871,aaaekoee,CsAuCl4,12,"Au, Cl, Cs",1.711
872,aaaekofk,TaAlO4,12,"Al, O, Ta",6.564
873,aaaekofy,CsI2Br,16,"Br, Cs, I",2.18
874,aaaekogn,Er3GaS6,20,"Er, Ga, S",4.144
875,aaaekohn,KCdCl3,20,"Cd, Cl, K",2.702
876,aaaekoht,HfBrN,6,"Br, Hf, N",4.873
877,aaaekoiz,V2Pb3O8,13,"O, Pb, V",4.48
878,aaaekojs,Na2ThF6,18,"F, Na, Th",4.822
879,aaaekojt,BaMgH4,12,"Ba, H, Mg",2.471
880,aaaekokl,La6UO12,19,"La, O, U",6.29
881,aaaekokm,AgAuF4,12,"Ag, Au, F",2.605
882,aaaekolc,Sb2S2O,10,"O, S, Sb",6.671
883,aaaekold,CsLiCl2,8,"Cl, Cs, Li",1.323
884,aaaekole,Y(CuS)3,14,"Cu, S, Y",5.413
885,aaaekolm,Cs2SbF5,16,"Cs, F, Sb",3.813
886,aaaekoln,KGe2N3,12,"Ge, K, N",4.377
887,aaaekomc,Ti(GaO2)4,13,"Ga, O, Ti",6.943
888,aaaekomg,K3InP2,12,"In, K, P",3.621
889,aaaekomx,Ag3PSe4,16,"Ag, P, Se",2.673
890,aaaekonw,LiBO2,8,"B, Li, O",2.439
891,aaaekony,CaAlF5,14,"Al, Ca, F",2.943
892,aaaekopk,Na2PdF4,14,"F, Na, Pd",2.015
893,aaaekopw,K2TiO3,12,"K, O, Ti",5.302
894,aaaekoqc,K3Ge4Au,16,"Au, Ge, K",1.784
895,aaaekoqz,Na2UO4,14,"Na, O, U",8.069
896,aaaekorg,TbTaO4,12,"O, Ta, Tb",5.586
897,aaaekork,Nb(SeBr)2,10,"Br, Nb, Se",2.48
898,aaaekorx,TlPt3O4,16,"O, Pt, Tl",3.333
899,aaaekosi,Cs3Ge4Au,16,"Au, Cs, Ge",2.064
900,aaaekosq,Zr3N2O3,16,"N, O, Zr",7.428
901,aaaekosu,GaHgCl4,12,"Cl, Ga, Hg",2.718
902,aaaekote,DyAgSe2,16,"Ag, Dy, Se",4.547
903,aaaekotv,CuSbS2,16,"Cu, S, Sb",5.471
904,aaaekoua,Sn2OF5,16,"F, O, Sn",4.741
905,aaaekouj,TaBO4,12,"B, O, Ta",6.583
906,aaaekovw,LiNdSe2,8,"Li, Nd, Se",4.622
907,aaaekowo,Li10BrN3,14,"Br, Li, N",2.646
908,aaaekowq,K2MoO4,14,"K, Mo, O",3.21
909,aaaekowz,Sc(CuS)3,14,"Cu, S, Sc",5.382
910,aaaekoxd,Cs3ZnCl5,18,"Cl, Cs, Zn",1.972
911,aaaekoxj,AlCuBr4,12,"Al, Br, Cu",2.818
912,aaaekoxk,Ba2ThS6,18,"Ba, S, Th",5.54
913,aaaekoxn,NaErCl4,12,"Cl, Er, Na",3.745
914,aaaekoxs,Y2HfO5,16,"Hf, O, Y",5.803
915,aaaekoyf,Na2ZrSe3,12,"Na, Se, Zr",6.78
916,aaaekoym,Na5NpO6,12,"Na, Np, O",4.479
917,aaaekoyu,HN,32,"H, N",3.827
918,aaaekozi,SmPaO4,12,"O, Pa, Sm",7.273
919,aaaekozp,BaCO3,20,"Ba, C, O",2.901
920,aaaekozw,Ho(CuS)3,14,"Cu, Ho, S",5.364
921,aaaekpae,TmPO4,12,"O, P, Tm",4.345
922,aaaekpah,La(HO)3,14,"H, La, O",4.167
923,aaaekpak,Ba(LaSe2)2,14,"Ba, La, Se",4.236
924,aaaekpam,Sr3WO6,20,"O, Sr, W",7.176
925,aaaekpaw,MgWO4,12,"Mg, O, W",7.361
926,aaaekpbp,Ba(AlTe2)2,14,"Al, Ba, Te",3.973
927,aaaekpbx,TmHO2,16,"H, O, Tm",4.049
928,aaaekpcc,Th(PS3)2,18,"P, S, Th",5.814
929,aaaekpcx,BaZrF6,16,"Ba, F, Zr",4.954
930,aaaekpea,K3GaO3,14,"Ga, K, O",2.21
931,aaaekpel,Dy2O3,5,"Dy, O",3.888
932,aaaekpeo,RbSnI3,20,"I, Rb, Sn",4.678
933,aaaekpes,KNbF6,16,"F, K, Nb",4.957
934,aaaekpgh,Li3NbS4,8,"Li, Nb, S",1.774
935,aaaekpgq,Ga2TeO6,18,"Ga, O, Te",5.425
936,aaaekpgu,KNaTe,12,"K, Na, Te",2.118
937,aaaekpgx,Tl2SbF5,16,"F, Sb, Tl",4.41
938,aaaekphb,Li2MgBr4,7,"Br, Li, Mg",2.323
939,aaaekphr,SrPbO3,20,"O, Pb, Sr",4.657
940,aaaekpht,CeTh3O8,12,"Ce, O, Th",5.956
941,aaaekpia,La5TlSe8,14,"La, Se, Tl",4.49
942,aaaekpie,Li2WO4,14,"Li, O, W",6.912
943,aaaekpih,Ca(HoTe2)2,7,"Ca, Ho, Te",5.441
944,aaaekpin,LaBO3,10,"B, La, O",4.346
945,aaaekpir,NaClO4,12,"Cl, Na, O",3.202
946,aaaekpjy,SrSnO3,10,"O, Sn, Sr",4.255
947,aaaekpla,Sr5As3H,18,"As, H, Sr",3.741
948,aaaekpli,CsPbBr3,20,"Br, Cs, Pb",4.072
949,aaaekplp,KNbS2,8,"K, Nb, S",2.115
950,aaaekplv,Ta3SBr7,11,"Br, S, Ta",3.221
951,aaaekplz,Nd(TmS2)3,20,"Nd, S, Tm",4.642
952,aaaekpmc,Sr(AlSe2)2,14,"Al, Se, Sr",3.26
953,aaaekpmg,Ba2P7I,20,"Ba, I, P",3.591
954,aaaekpmk,CaIn2O4,14,"Ca, In, O",3.442
955,aaaekpna,TePb,8,"Pb, Te",5.903
956,aaaekpnn,Be4TeO7,12,"Be, O, Te",4.945
957,aaaekpnz,Lu2CdSe4,14,"Cd, Lu, Se",3.726
958,aaaekpob,TbCuSe2,16,"Cu, Se, Tb",4.666
959,aaaekpop,Na2ZrS3,12,"Na, S, Zr",6.36
960,aaaekpow,SeOF2,16,"F, O, Se",3.5
961,aaaekppd,BaSnF4,12,"Ba, F, Sn",3.384
962,aaaekppe,Nd(ErS2)3,20,"Er, Nd, S",4.679
963,aaaekppm,K2Sn2O3,7,"K, O, Sn",4.045
964,aaaekppr,CsTaI6,16,"Cs, I, Ta",8.497
965,aaaekpqc,BaSnS2,16,"Ba, S, Sn",3.487
966,aaaekpqh,DyHO2,8,"Dy, H, O",4.176
967,aaaekpqt,CuBiO2,8,"Bi, Cu, O",5.169
968,aaaekpqw,K2CO3,12,"C, K, O",2.956
969,aaaekprc,CuTe2I,16,"Cu, I, Te",2.299
970,aaaekprx,VBiO4,12,"Bi, O, V",6.343
971,aaaekpsd,Tl2Hg3S4,18,"Hg, S, Tl",3.083
972,aaaekpsv,Bi4Te7Pb,12,"Bi, Pb, Te",7.951
973,aaaekpsz,MgGeN2,16,"Ge, Mg, N",3.165
974,aaaekpts,AlAuO2,8,"Al, Au, O",3.283
975,aaaekpue,Sr2SnO4,14,"O, Sn, Sr",4.317
976,aaaekpul,K2PbO3,12,"K, O, Pb",4.49
977,aaaekpvb,Na3ErBr6,20,"Br, Er, Na",3.509
978,aaaekpvc,TbPO4,12,"O, P, Tb",4.434
979,aaaekpvj,VZn2N3,12,"N, V, Zn",4.946
980,aaaekpwj,Pr(CdP)3,14,"Cd, P, Pr",4.855
981,aaaekpwu,TmSeF,12,"F, Se, Tm",5.652
982,aaaekpwz,GaAsO4,18,"As, Ga, O",3.765
983,aaaekpxb,ErAgSe2,16,"Ag, Er, Se",4.5
984,aaaekpxj,Rb3I2Br,6,"Br, I, Rb",1.225
985,aaaekpxu,CsCu2Br3,12,"Br, Cs, Cu",1.482
986,aaaekpyc,KCu3S2,12,"Cu, K, S",2.429
987,aaaekpyh,Li3PO4,16,"Li, O, P",3.162
988,aaaekpyn,Zn3SbN3,7,"N, Sb, Zn",2.848
989,aaaekpyp,H4BrN,6,"Br, H, N",1.25
990,aaaekpyy,Li4PbO4,18,"Li, O, Pb",3.377
991,aaaekpzj,DyNbO4,12,"Dy, Nb, O",5.668
992,aaaekqag,HfSO,12,"Hf, O, S",5.071
993,aaaekqan,Tl3PO4,16,"O, P, Tl",3.833
994,aaaekqau,SbTeOs,12,"Os, Sb, Te",6.763
995,aaaekqbx,Cu3PS4,16,"Cu, P, S",3.1
996,aaaekqcf,Na3IrF6,10,"F, Ir, Na",2.073
997,aaaekqcs,CaF2,12,"Ca, F",2.422
998,aaaekqct,CdIn2O4,14,"Cd, In, O",3.065
999,aaaekqcx,Rb2MgO2,20,"Mg, O, Rb",2.067
1000,aaaekqds,SmAsO4,12,"As, O, Sm",4.344
