Equivar_Z11,DFPT_Z11,Equivar_Z22,DFPT_Z22,Equivar_Z33,DFPT_Z33
-3.167327880859375,-3.1606974601745605,-1.957684636116028,-1.9656944274902344,-3.072848081588745,-3.068117380142212
-3.1244444847106934,-3.128812313079834,-1.909504055976868,-1.903067946434021,-2.994312524795532,-2.993655204772949
-3.0866599082946777,-3.094607353210449,-1.85899031162262,-1.8540791273117065,-3.0138440132141118,-3.026313543319702
2.510993003845215,2.5140082836151123,2.3401286602020264,2.369072675704956,2.539981842041016,2.5412559509277344
5.612015724182129,5.618666648864746,5.473938465118408,5.4707255363464355,5.471812725067139,5.4681477546691895
5.472736358642578,5.478529930114746,5.455739974975586,5.460543632507324,5.555683612823486,5.575631618499756
5.47273588180542,5.478529930114746,5.455739498138428,5.460543632507324,5.555683135986328,5.575631618499756
5.612015724182129,5.618666648864746,5.473938465118408,5.4707255363464355,5.471812725067139,5.4681477546691895
2.6435489654541016,2.648688793182373,2.5178444385528564,2.5237560272216797,2.74157452583313,2.740267038345337
2.6492624282836914,2.648688793182373,2.526408672332764,2.5237560272216797,2.7467644214630127,2.740267038345337
2.4502973556518555,2.447577953338623,2.5603296756744385,2.533463954925537,2.544813632965088,2.5459859371185303
2.4551382064819336,2.447577953338623,2.5623421669006348,2.533463954925537,2.5387866497039795,2.5459859371185303
-3.083560943603516,-3.0878746509552,-1.8584380149841309,-1.8567968606948853,-3.0625979900360107,-3.0682692527770996
-1.9630240201950075,-1.9513263702392578,-3.993926763534546,-3.992727279663086,-2.164137125015259,-2.173694133758545
-1.7560831308364868,-1.7648556232452393,-4.358785629272461,-4.360158920288086,-1.971885323524475,-1.95925772190094
-3.07505464553833,-3.0878746509552,-1.8657397031784055,-1.8567968606948853,-3.067519187927246,-3.0682692527770996
-1.7351980209350586,-1.7648556232452393,-4.354559421539307,-4.360158920288086,-1.981167554855347,-1.95925772190094
-1.9573330879211424,-1.9513263702392578,-3.9972426891326895,-3.992727279663086,-2.1650054454803467,-2.173694133758545
-3.07505464553833,-3.0878746509552,-1.8657399415969849,-1.8567968606948853,-3.067519187927246,-3.0682692527770996
-3.083560943603516,-3.0878746509552,-1.8584376573562624,-1.8567968606948853,-3.0625979900360107,-3.0682692527770996
-3.173104763031006,-3.1725494861602783,-1.984813213348389,-1.9840764999389648,-3.093104362487793,-3.0852348804473877
-3.17940616607666,-3.1725494861602783,-1.9869650602340696,-1.9840764999389648,-3.0849478244781494,-3.0852348804473877
-3.173104763031006,-3.1725494861602783,-1.9848133325576784,-1.9840764999389648,-3.093104362487793,-3.0852348804473877
-3.17940616607666,-3.1725494861602783,-1.9869647026062007,-1.9840764999389648,-3.0849475860595703,-3.0852348804473877
5.557674884796143,5.570382118225098,5.4843597412109375,5.488706588745117,5.589474201202393,5.5768537521362305
5.560147762298584,5.570382118225098,5.480391502380371,5.488706588745117,5.573824405670166,5.5768537521362305
5.557674884796143,5.570382118225098,5.484358787536621,5.488706588745117,5.589474201202393,5.5768537521362305
5.560147285461426,5.570382118225098,5.480391979217529,5.488706588745117,5.573823928833008,5.5768537521362305
2.6684141159057617,2.655559539794922,2.373253345489502,2.39357852935791,2.74910831451416,2.741572141647339
2.6684141159057617,2.655559539794922,2.373253107070923,2.39357852935791,2.74910831451416,2.741572141647339
-2.397357940673828,-2.3882808685302734,-4.164614677429199,-4.160759449005127,-1.8877092599868772,-1.9024733304977417
-3.2326138019561768,-3.2304389476776123,-1.9757604598999023,-1.979914903640747,-3.117168664932251,-3.127115249633789
